[2026-08-07T22:13:26.347Z] INFO  [PrePushHook] [trace=65253a47f08742b18d5ad28f05c712fe] pre-push hook: remote=origin budget=3000ms
[2026-08-07T22:13:26.409Z] INFO  [PushPendingStore] [trace=65253a47f08742b18d5ad28f05c712fe] Enqueued 1 new push-pending entries (branch=main)
[2026-08-07T22:13:26.411Z] INFO  [PrePushHook] [trace=65253a47f08742b18d5ad28f05c712fe] pre-push: recorded 1 commit(s) across 1 pushed ref(s)
[2026-08-07T22:13:26.438Z] INFO  [PrePushHook] [trace=65253a47f08742b18d5ad28f05c712fe] Recorded 1 commit(s) for later sync — not signed in to Jolli
[2026-08-07T22:13:26.439Z] INFO  [StorageFactory] [trace=65253a47f08742b18d5ad28f05c712fe] StorageFactory.create: storageMode=dual-write, projectPath=D:\stitch_
[2026-08-07T22:13:26.520Z] INFO  [StorageFactory] [trace=65253a47f08742b18d5ad28f05c712fe] Storage mode: dual-write (primary=orphan, shadow=folder)
[2026-08-07T22:15:16.388Z] INFO  [PrepareMsgHook] === Prepare-commit-msg hook started (source: message) ===
[2026-08-07T22:15:16.455Z] INFO  [PrepareMsgHook] === Prepare-commit-msg hook finished ===
[2026-08-07T22:15:16.779Z] INFO  [PostCommitHook] [trace=9d604ebdc872acc40385eb4d25872f7f] Detected operation: commit
[2026-08-07T22:15:16.829Z] INFO  [PostCommitHook] [trace=9d604ebdc872acc40385eb4d25872f7f] Enqueued: type=commit hash=0d73f1f6
[2026-08-07T22:15:16.829Z] INFO  [QueueWorker] [trace=9d604ebdc872acc40385eb4d25872f7f] Launching background worker
[2026-08-07T22:15:16.833Z] INFO  [QueueWorker] [trace=9d604ebdc872acc40385eb4d25872f7f] Background worker spawned (PID: 34300)
[2026-08-07T22:15:27.369Z] INFO  [PrePushHook] [trace=769e742a914d511eb8cf0c8d623b66ca] pre-push hook: remote=origin budget=3000ms
[2026-08-07T22:15:27.435Z] INFO  [PushPendingStore] [trace=769e742a914d511eb8cf0c8d623b66ca] Enqueued 1 new push-pending entries (branch=main)
[2026-08-07T22:15:27.436Z] INFO  [PrePushHook] [trace=769e742a914d511eb8cf0c8d623b66ca] pre-push: recorded 1 commit(s) across 1 pushed ref(s)
[2026-08-07T22:15:27.470Z] INFO  [PrePushHook] [trace=769e742a914d511eb8cf0c8d623b66ca] Recorded 1 commit(s) for later sync — not signed in to Jolli
[2026-08-07T22:15:27.471Z] INFO  [StorageFactory] [trace=769e742a914d511eb8cf0c8d623b66ca] StorageFactory.create: storageMode=dual-write, projectPath=D:\stitch_
[2026-08-07T22:15:27.547Z] INFO  [StorageFactory] [trace=769e742a914d511eb8cf0c8d623b66ca] Storage mode: dual-write (primary=orphan, shadow=folder)
[2026-08-07T22:17:12.557Z] INFO  [PrepareMsgHook] === Prepare-commit-msg hook started (source: message) ===
[2026-08-07T22:17:12.623Z] INFO  [PrepareMsgHook] === Prepare-commit-msg hook finished ===
[2026-08-07T22:17:12.949Z] INFO  [PostCommitHook] [trace=46ed9ede88a435369d6fe1e473ba115d] Detected operation: commit
[2026-08-07T22:17:13.003Z] INFO  [PostCommitHook] [trace=46ed9ede88a435369d6fe1e473ba115d] Enqueued: type=commit hash=8e0beb93
[2026-08-07T22:17:13.003Z] INFO  [QueueWorker] [trace=46ed9ede88a435369d6fe1e473ba115d] Launching background worker
[2026-08-07T22:17:13.008Z] INFO  [QueueWorker] [trace=46ed9ede88a435369d6fe1e473ba115d] Background worker spawned (PID: 27828)
[2026-08-07T22:18:10.962Z] INFO  [PrePushHook] [trace=82770eb447cff8b970d6de0b7d8adbbf] pre-push hook: remote=origin budget=3000ms
